step,layer,num_kv,deltaPKp_norm
3,7,1,3.962140056046337e-07
4,8,1,4.19355842495861e-07
0,4,1,7.328508644377507e-08
0,4,1,7.328508644377507e-08
1,5,1,1.0133885552932043e-07
0,4,1,7.328508644377507e-08
1,5,1,1.0133885552932043e-07
2,6,1,1.7819196784785163e-07
0,4,1,7.328508644377507e-08
1,5,1,1.0133885552932043e-07
2,6,1,1.7819196784785163e-07
3,7,1,1.591008640389191e-07
0,4,1,7.328508644377507e-08
1,5,1,1.0133885552932043e-07
2,6,1,1.7819196784785163e-07
3,7,1,1.591008640389191e-07
4,8,1,5.07952563566505e-07
0,4,1,8.246281879564776e-08
0,4,1,8.246281879564776e-08
1,5,1,7.724926120999953e-08
0,4,1,8.246281879564776e-08
1,5,1,7.724926120999953e-08
2,6,1,1.7647026595568605e-07
0,4,1,8.246281879564776e-08
1,5,1,7.724926120999953e-08
2,6,1,1.7647026595568605e-07
3,7,1,1.429269218533591e-07
0,4,1,8.246281879564776e-08
1,5,1,7.724926120999953e-08
2,6,1,1.7647026595568605e-07
3,7,1,1.429269218533591e-07
4,8,1,5.013526447328331e-07
0,4,1,4.741520598372517e-08
0,4,1,4.741520598372517e-08
1,5,1,1.3286287980918132e-07
0,4,1,4.741520598372517e-08
1,5,1,1.3286287980918132e-07
2,6,1,1.8491854802960006e-07
0,4,1,4.741520598372517e-08
1,5,1,1.3286287980918132e-07
2,6,1,1.8491854802960006e-07
3,7,1,2.604508040349174e-07
0,4,1,4.741520598372517e-08
1,5,1,1.3286287980918132e-07
2,6,1,1.8491854802960006e-07
3,7,1,2.604508040349174e-07
4,8,1,4.86973988245154e-07
0,4,1,7.706940152729658e-08
0,4,1,7.706940152729658e-08
1,5,1,9.555932223292984e-08
0,4,1,7.706940152729658e-08
1,5,1,9.555932223292984e-08
2,6,1,1.2969147178409912e-07
0,4,1,7.706940152729658e-08
1,5,1,9.555932223292984e-08
2,6,1,1.2969147178409912e-07
3,7,1,2.0754916363330267e-07
0,4,1,7.706940152729658e-08
1,5,1,9.555932223292984e-08
2,6,1,1.2969147178409912e-07
3,7,1,2.0754916363330267e-07
4,8,1,4.0370872511630296e-07
0,4,1,8.616621727242091e-08
0,4,1,8.616621727242091e-08
1,5,1,5.9137150287824625e-08
0,4,1,8.616621727242091e-08
1,5,1,5.9137150287824625e-08
2,6,1,7.884953134862371e-08
0,4,1,8.616621727242091e-08
1,5,1,5.9137150287824625e-08
2,6,1,7.884953134862371e-08
3,7,1,2.4073563054116676e-07
0,4,1,8.616621727242091e-08
1,5,1,5.9137150287824625e-08
2,6,1,7.884953134862371e-08
3,7,1,2.4073563054116676e-07
4,8,1,3.365155976098322e-07
0,4,1,1.0784055604062814e-07
0,4,1,1.0784055604062814e-07
1,5,1,4.3443975528134615e-08
0,4,1,1.0784055604062814e-07
1,5,1,4.3443975528134615e-08
2,6,1,1.8128045553567063e-07
0,4,1,1.0784055604062814e-07
1,5,1,4.3443975528134615e-08
2,6,1,1.8128045553567063e-07
3,7,1,3.2167184826903394e-07
0,4,1,1.0784055604062814e-07
1,5,1,4.3443975528134615e-08
2,6,1,1.8128045553567063e-07
3,7,1,3.2167184826903394e-07
4,8,1,7.342508183683094e-07
0,4,1,5.76517997785686e-08
0,4,1,5.76517997785686e-08
1,5,1,1.5467807656932564e-07
0,4,1,5.76517997785686e-08
1,5,1,1.5467807656932564e-07
2,6,1,1.488252365788867e-07
0,4,1,5.76517997785686e-08
1,5,1,1.5467807656932564e-07
2,6,1,1.488252365788867e-07
3,7,1,2.769772891042521e-07
0,4,1,5.76517997785686e-08
1,5,1,1.5467807656932564e-07
2,6,1,1.488252365788867e-07
3,7,1,2.769772891042521e-07
4,8,1,2.3442704844001128e-07
0,4,1,6.622220638519138e-08
0,4,1,6.622220638519138e-08
1,5,1,1.633402746392676e-07
0,4,1,6.622220638519138e-08
1,5,1,1.633402746392676e-07
2,6,1,1.506786730942622e-07
0,4,1,6.622220638519138e-08
1,5,1,1.633402746392676e-07
2,6,1,1.506786730942622e-07
3,7,1,5.658518489326525e-07
0,4,1,6.622220638519138e-08
1,5,1,1.633402746392676e-07
2,6,1,1.506786730942622e-07
3,7,1,5.658518489326525e-07
4,8,1,4.702727096628223e-07
0,4,1,7.136629420756435e-08
0,4,1,7.136629420756435e-08
1,5,1,1.6049041562382627e-07
0,4,1,7.136629420756435e-08
1,5,1,1.6049041562382627e-07
2,6,1,1.7504900995390926e-07
0,4,1,7.136629420756435e-08
1,5,1,1.6049041562382627e-07
2,6,1,1.7504900995390926e-07
3,7,1,3.081875661337108e-07
0,4,1,7.136629420756435e-08
1,5,1,1.6049041562382627e-07
2,6,1,1.7504900995390926e-07
3,7,1,3.081875661337108e-07
4,8,1,2.8312206268310547e-07
0,4,1,3.146933238440397e-07
0,4,1,3.146933238440397e-07
1,5,1,3.4922484815069765e-07
0,4,1,3.146933238440397e-07
1,5,1,3.4922484815069765e-07
2,6,1,3.1680303891334916e-07
0,4,1,3.146933238440397e-07
1,5,1,3.4922484815069765e-07
2,6,1,3.1680303891334916e-07
3,7,1,5.70346685435652e-07
0,4,1,3.146933238440397e-07
1,5,1,3.4922484815069765e-07
2,6,1,3.1680303891334916e-07
