step,layer,num_kv,deltaPKp_norm
3,7,1,5.70346685435652e-07
4,8,1,7.81139306127443e-07
0,4,1,0.0
0,4,1,0.0
1,5,1,0.0
0,4,1,0.0
1,5,1,0.0
2,6,1,1.6924465739975858e-07
0,4,1,0.0
1,5,1,0.0
2,6,1,1.6924465739975858e-07
3,7,1,1.831085398862342e-07
0,4,1,0.0
1,5,1,0.0
2,6,1,1.6924465739975858e-07
3,7,1,1.831085398862342e-07
4,8,1,3.7520166529247945e-07
0,4,1,8.093402215081369e-08
0,4,1,8.093402215081369e-08
1,5,1,1.7313584521616576e-07
0,4,1,8.093402215081369e-08
1,5,1,1.7313584521616576e-07
2,6,1,2.2152168810407602e-07
0,4,1,8.093402215081369e-08
1,5,1,1.7313584521616576e-07
2,6,1,2.2152168810407602e-07
3,7,1,3.734220399564947e-07
0,4,1,8.093402215081369e-08
1,5,1,1.7313584521616576e-07
2,6,1,2.2152168810407602e-07
3,7,1,3.734220399564947e-07
4,8,1,4.908343953502481e-07
0,4,1,8.178687949111918e-08
0,4,1,8.178687949111918e-08
1,5,1,1.8443009253132914e-07
0,4,1,8.178687949111918e-08
1,5,1,1.8443009253132914e-07
2,6,1,1.9992005206859176e-07
0,4,1,8.178687949111918e-08
1,5,1,1.8443009253132914e-07
2,6,1,1.9992005206859176e-07
3,7,1,3.905696530637215e-07
0,4,1,8.178687949111918e-08
1,5,1,1.8443009253132914e-07
2,6,1,1.9992005206859176e-07
3,7,1,3.905696530637215e-07
4,8,1,1.0925712103926344e-06
0,4,1,8.429369557916289e-08
0,4,1,8.429369557916289e-08
1,5,1,1.9443017151843378e-07
0,4,1,8.429369557916289e-08
1,5,1,1.9443017151843378e-07
2,6,1,2.315680660558428e-07
0,4,1,8.429369557916289e-08
1,5,1,1.9443017151843378e-07
2,6,1,2.315680660558428e-07
3,7,1,4.256623071796639e-07
0,4,1,8.429369557916289e-08
1,5,1,1.9443017151843378e-07
2,6,1,2.315680660558428e-07
3,7,1,4.256623071796639e-07
4,8,1,6.718755116708053e-07
0,4,1,5.819089565761715e-08
0,4,1,5.819089565761715e-08
1,5,1,1.2769652357746963e-07
0,4,1,5.819089565761715e-08
1,5,1,1.2769652357746963e-07
2,6,1,1.8219678565856157e-07
0,4,1,5.819089565761715e-08
1,5,1,1.2769652357746963e-07
2,6,1,1.8219678565856157e-07
3,7,1,3.043815297587571e-07
0,4,1,5.819089565761715e-08
1,5,1,1.2769652357746963e-07
2,6,1,1.8219678565856157e-07
3,7,1,3.043815297587571e-07
4,8,1,4.856041186940274e-07
0,4,1,1.1175870895385742e-07
0,4,1,1.1175870895385742e-07
1,5,1,1.3286287980918132e-07
0,4,1,1.1175870895385742e-07
1,5,1,1.3286287980918132e-07
2,6,1,1.2287812012345967e-07
0,4,1,1.1175870895385742e-07
1,5,1,1.3286287980918132e-07
2,6,1,1.2287812012345967e-07
3,7,1,3.351933344220015e-07
0,4,1,1.1175870895385742e-07
1,5,1,1.3286287980918132e-07
2,6,1,1.2287812012345967e-07
3,7,1,3.351933344220015e-07
4,8,1,6.093098932069552e-07
0,4,1,2.602375843707705e-07
0,4,1,2.602375843707705e-07
1,5,1,2.2574153035748168e-07
0,4,1,2.602375843707705e-07
1,5,1,2.2574153035748168e-07
2,6,1,3.1680303891334916e-07
0,4,1,2.602375843707705e-07
1,5,1,2.2574153035748168e-07
2,6,1,3.1680303891334916e-07
3,7,1,4.975180445399019e-07
0,4,1,2.602375843707705e-07
1,5,1,2.2574153035748168e-07
2,6,1,3.1680303891334916e-07
3,7,1,4.975180445399019e-07
4,8,1,8.77019090239628e-07
0,4,1,1.195580239254923e-07
0,4,1,1.195580239254923e-07
1,5,1,1.497548112183722e-07
0,4,1,1.195580239254923e-07
1,5,1,1.497548112183722e-07
2,6,1,1.8280512392720993e-07
0,4,1,1.195580239254923e-07
1,5,1,1.497548112183722e-07
2,6,1,1.8280512392720993e-07
3,7,1,5.206884452491067e-07
0,4,1,1.195580239254923e-07
1,5,1,1.497548112183722e-07
2,6,1,1.8280512392720993e-07
3,7,1,5.206884452491067e-07
4,8,1,5.491234560395242e-07
0,4,1,1.209142226343829e-07
0,4,1,1.209142226343829e-07
1,5,1,9.512264398381376e-08
0,4,1,1.209142226343829e-07
1,5,1,9.512264398381376e-08
2,6,1,2.1283115358983196e-07
0,4,1,1.209142226343829e-07
1,5,1,9.512264398381376e-08
2,6,1,2.1283115358983196e-07
3,7,1,1.884864389012364e-07
0,4,1,1.209142226343829e-07
1,5,1,9.512264398381376e-08
2,6,1,2.1283115358983196e-07
